see raw_scenario-dictionary for scenario descriptions,,,,,
"make all units singular, use units source reports in",,,,,
"unless otherwise noted, values are taken from enterprise budget",,,,,
,,,,,
,,,,,
scenario_id,cat,desc,unit,value,notes
cv_001,yield,stand life,years,3,
,,"hay, harvests",harvest/year,7,
,,"haylage, harvests",harvest/year,2,
,,hay production,ton/ac/yr at 10% moisture,10,
,,haylage production,ton/ac/yr at 30% moisture,3,
,irrigation,"sprinkler, est",ac-in/stand life,8,"for establishment, could require two of these"
,,"surface, prod",ac-in/year,64,"flood irrigation, could change as part of sensitivity analysis"
,seed,"round-up ready seed, non-dormant",lb/ac,25,"non-dormant seed is produced in different areas, not sure if round-up ready requires different things"
,fertility,11-52-0 MAP,lb/ac/pass,200,actual application based on soil tests
,pesticide,roundup powermaxx,pint/ac,2,"year 1, establishment"
,,roundup powermaxx,pint/ac,2,year 1
,,Warrior II,fl oz/ac,1.5,year 1
,,Coragen,fl oz/ac,3.5,year 1
,,chateau,oz/ac,4,year 1
,,prowl h2o,gal/ac,1,year 1
,,gramoxone,pint/ac,1.5,year 1
,,roundup powermaxx,pint/ac,2,year 2
,,Warrior II,fl oz/ac,1.5,year 2
,,Coragen,fl oz/ac,3.5,year 2
,,chateau,oz/ac,4,year 2
,,prowl h2o,gal/ac,1,year 2
,,gramoxone,pint/ac,1.5,year 2
,,roundup powermaxx,pint/ac,2,year 3
,,Warrior II,fl oz/ac,1.5,year 3
,,Coragen,fl oz/ac,3.5,year 3
,,chateau,oz/ac,4,year 3
,,prowl h2o,gal/ac,1,year 3
,,gramoxone,pint/ac,1.5,year 3
,field ops,disk,pass/stand life,1,establishment
,,roll,pass/stand life,2,establishment
,,chisel,pass/stand life,1,establishment
,,laser level,pass/stand life,1,establishment
,,disk border ridges,pass/stand life,1,establishment
,,"fertilize, map",pass/stand life,1,establishment
,,disk,pass/stand life,1,establishment
,,roll,pass/stand life,1,establishment
,,plant,pass/stand life,1,establishment
,,weed control,pass/stand life,1,establishment
,,weed control,pass/stand life,3,
,,insect control,pass/stand life,3,
,,insect control,pass/stand life,3,
,,"fertilize, map",pass/stand life,1,assume one additional MAP application over stand life
,,weed control,pass/stand life,3,
,,weed control,pass/stand life,3,
,,stand termination,pass/stand life,1,
,harvest ops,"haylage, cut",pass/harvest,1,
,,"haylage, chop",pass/harvest,1,
,,"hay, swath",pass/harvest,1,
,,"hay, rake",pass/harvest,1,
,,"hay, bale",pass/harvest,1,
,,"hay, stack",pass/harvest,1,
